,id,title,slug,cover,thumbnail,description,seo_description,status,total_module,total_time,level,author,total,normal_price,retail_price,rent_price,total_student,total_rating,total_feedback
73,228,"Membangun Aplikasi Point Of Sales Kasir dengan Laravel, Inertia.js & Vue.js",membangun-aplikasi-point-of-sales-kasir-dengan-laravel-inertiajs-vuejs,https://image.web.id/images/Membangun-Aplikasi-Point-Of-Sales-Kasir-dengan-Laravel-Inertia.js--Vue.js.jpg,https://image.web.id/images/Membangun-Aplikasi-Point-Of-Sales-Kasir-dengan-Laravel-Inertia.js--Vue.js.jpg,"Disini kita akan belajar bagaimana cara membangun aplikasi secara monolith modern menggunakan Inertia.js dan Vue.js di dalam Laravel. Dengan menggunakan Inertia.js, kita sudah tidak perlu repot-repot membuat sebuah Rest API, sehingga proses development akan lebih cepat dan mudah. ",,publish,101,8,beginner,Fika Ridaul Maulayya,31,400000,400000,0.0,29,5.0,2
74,252,Deploy Projek Machine Learning ke Cloud,deploy-projek-machine-learning-ke-cloud,https://image.web.id/images/Deploy-Projek-Machine-Learning-ke-Cloudda6cfc29f5451310.png,https://image.web.id/images/Deploy-Projek-Machine-Learning-ke-Cloudda6cfc29f5451310.png,"Dalam course ini akan dibahas secara spesifik mengenai tiga projek machine learning, dimulai dari data yang digunakan, membuat model prediksi, hingga deploy model tersebut ke cloud untuk dapat digunakan secara meluas. ",,publish,33,3,beginner,Nur Indah Pratiwi,31,250000,250000,99000.0,25,4.8,5
75,216,"Membangun Website Sekolah Dengan Laravel, Vue Js dan Bootstrap 5",membangun-website-sekolah-dengan-laravel-vue-js-dan-bootstrap-5,https://image.web.id/images/Membangun-Website-Sekolah-Dengan-Laravel-Vue-Js-dan-Bootstrap-5.jpg,https://image.web.id/images/Membangun-Website-Sekolah-Dengan-Laravel-Vue-Js-dan-Bootstrap-5.jpg,"Dalam kelas ini kita akan belajar dari 0 bagaimana membangun website sekolah dengan Bootstrap 5, Laravel dan Vue Js sampai online, dimana untuk proses deployment kita akan menggunakan Shared Hosting dan Netlify.

Disclamer : Kelas berupa e-book",,publish,69,4,beginner,Fika Ridaul Maulayya,30,400000,400000,0.0,33,5.0,1
76,56,Membangun RESTful API dengan Laravel Studi Kasus Blog,laravel-api,https://image.web.id/images/Membangun-RESTful-API-dengan-Laravel-65f610c7d179418b7.png,https://image.web.id/images/Membangun-RESTful-API-dengan-Laravel-65f610c7d179418b7.png,Dalam kelas online ini kamu akan belajar membangun RESTful API menggunakan Framework Laravel 6,,publish,19,1,intermediate,Ahmad Hakim,29,149000,149000,49000.0,1230,4.8,303
77,68,Belajar Framework Laravel Studi Kasus Role Management,membuat-role-management-menggunakan-laravel,https://image.web.id/images/Membuat-Role-Management-Menggunakan-Laravel61de5e55c1c102dc.png,https://image.web.id/images/Membuat-Role-Management-Menggunakan-Laravel61de5e55c1c102dc.png,Belajar bagaimana membangun dashboard role management menggunakan Laravel untuk membagi dan membatasi aturan di setiap pengguna.,,publish,12,1,intermediate,Ahmad Hakim,29,149000,149000,49000.0,775,4.7,102
78,272,Menguasai Framework Laravel 9,belajar-framework-laravel-dasar,https://image.web.id/images/Belajar_Framework_Laravel_Dasar.png,https://image.web.id/images/Belajar_Framework_Laravel_Dasar.png,Laravel merupakan framework php popular yang sampai dengan sekarang masih banyak peminat dan penggunanya.,,publish,60,5,beginner,Aldi Zainafif,29,199000,199000,79000.0,316,4.9,91
79,89,Memahami Cara Kerja Tim IT di Perusahaan yang Bekerja dari Rumah,cara-kerja-development-team,https://image.web.id/images/Memahami-Cara-Kerja-Tim-IT-di-Perusahaan-yang-Bekerja-dari-Rumahc45053437ec58f99.png,https://image.web.id/images/Memahami-Cara-Kerja-Tim-IT-di-Perusahaan-yang-Bekerja-dari-Rumahc45053437ec58f99.png,Di Course ini kita akan belajar mengenai tata cara dan bagaimana suatu tim yang ringkas dalam pengembangan aplikasi bekerja dalam kondisi tim yang terdistribusi atau suasana WFH.,,publish,22,1,intermediate,Muhammad Singgih Z.A,27,149000,149000,49000.0,428,4.8,87
80,268,"Membangun Aplikasi Ujian Online (CBT) Dengan Laravel, Inertia.js & Vue.js",membangun-aplikasi-ujian-online-cbt-dengan-laravel-inertiajs-vuejs,https://image.web.id/images/Membangun_Aplikasi_Ujian_Online_Dengan_Laravel_Inertia.js_dan_Vue.js.png,https://image.web.id/images/Membangun_Aplikasi_Ujian_Online_Dengan_Laravel_Inertia.js_dan_Vue.js.png,"Disini kita akan belajar bagaimana cara membangun aplikasi secara monolith modern menggunakan Inertia.js dan Vue.js di dalam Laravel. Dengan menggunakan Inertia.js, kita sudah tidak perlu repot-repot membuat sebuah Rest API, sehingga proses development akan lebih cepat dan mudah. ",,publish,98,10,beginner,Fika Ridaul Maulayya,27,400000,400000,0.0,20,0.0,0
81,70,Membuat Aplikasi Android Manajemen Tugas - Kotlin,membuat-aplikasi-android-manajemen-tugas-kotlin,https://image.web.id/images/Membuat-Aplikasi-Android-Manajemen-Tugas---Kotlin.jpg,https://image.web.id/images/Membuat-Aplikasi-Android-Manajemen-Tugas---Kotlin.jpg,Belajar membuat aplikasi management kegiatan menggunakan database SQLite,,publish,21,4,beginner,Aulia Rahman,26,149000,149000,49000.0,509,4.7,39
82,184,Belajar Dasar HTML,belajar-dasar-html,https://image.web.id/images/Belajar-Dasar-HTML.png,https://image.web.id/images/Belajar-Dasar-HTML.png,"Website adalah hal yang sudah biasa kita dengar untuk zaman sekarang. Tapi teknologi yang digunakan selalu ada yang terbaru dan semakin dinamis. Hal ini menjadi tantangan tersendiri untuk orang-orang yang ingin atau sedang bergelut di dunia pemrograman.

Pada kelas ini kamu akan belajar dasar-dasar HTML untuk fondasi awal belajar web development",,publish,30,3,beginner,Ahmad Hakim,26,149000,149000,49000.0,1759,4.8,2151
